"","logFC","logCPM","LR","PValue","FDR"
"YDR185C_mRNA",0.116380268792591,4.15976594596643,0.225982195487968,0.634519107023212,0.728914550947906
"YGL097W_mRNA",0.095642717468291,4.82607820705939,0.225593185891856,0.634810843761157,0.729104679571375
"YML005W_mRNA",0.109356323031806,4.02245628385482,0.22500489018913,0.635252620776389,0.729467025368672
"YCR009C_mRNA",-0.103335338084931,5.78035613146047,0.223660385952217,0.636264930397329,0.73036298508229
"YIL164C_mRNA",0.183966275780232,3.90679581130494,0.223632774806486,0.636285758471967,0.73036298508229
"YFR051C_mRNA",0.120567521556947,5.40082596089572,0.223278938663612,0.636552809100186,0.730524344399498
"YDR096W_mRNA",-0.0845462109251877,6.97794959702701,0.220707152794164,0.638501630905771,0.732615299982466
"YCL057W_mRNA",-0.0920353261147991,5.76213712770237,0.220133945001502,0.638937877957281,0.732970244901937
"YNL004W_mRNA",0.0971870758530202,5.63086443588472,0.219838187291668,0.639163239192769,0.73308317505509
"YJL036W_mRNA",-0.112579055197188,5.23281704546241,0.218907024616208,0.639873975589573,0.733752647013178
"YGR040W_mRNA",0.139041549836069,3.18326012331908,0.218728175895627,0.640010697824974,0.73376375360005
"YDR163W_mRNA",0.192867098543426,4.52626410182457,0.217717529125292,0.64078457705672,0.734505202833819
"YOL020W_mRNA",0.181057061897016,2.03032427997075,0.217021008322911,0.641319195713084,0.734863049100954
"YER171W_mRNA",-0.0965087424723445,4.51111066316649,0.216979332672615,0.641351217194929,0.734863049100954
"YGL165C_mRNA",0.128638354297166,4.1588278985042,0.216790982273541,0.641495982900977,0.734883141062285
"YNL152W_mRNA",0.104110494227168,4.10943528771175,0.215168799441848,0.642745967488813,0.736105437467628
"YPL039W_mRNA",-0.106776694316863,4.19029936143709,0.215075754964074,0.642817837012936,0.736105437467628
"YDL072C_mRNA",0.0950914936921271,6.41035994937191,0.214366196318863,0.643366537353817,0.736572369137958
"YMR281W_mRNA",0.112209389503023,4.61596447954748,0.214218822320167,0.643480639658957,0.736572369137958
"YDR229W_mRNA",0.138233601924336,4.74684637207127,0.21387350911243,0.64374818046793,0.736732611528188
"YEL046C_mRNA",-0.132538220582916,4.98369287339023,0.212902837181309,0.644501641916932,0.737448788374049
"YNL322C_mRNA",-0.125649189245948,6.08234115400743,0.211673533852239,0.645458855700326,0.738397771940005
"YKL092C_mRNA",-0.0981376594381435,4.95136600512032,0.211303428951551,0.645747702426818,0.738581926577684
"YEL015W_mRNA",0.105119322061121,4.62338106060803,0.210512169481186,0.64636626671185,0.739143052173361
"YBR090C_mRNA",0.0846912650869048,5.05785977853839,0.209584043376103,0.647093622011848,0.739828337438724
"YNL237W_mRNA",-0.114932884638346,4.93413772691253,0.207552296645452,0.648692690640219,0.741509792427845
"YLL053C_mRNA",0.210913805348151,3.00577539619035,0.20724015766544,0.648939193614494,0.741644792702279
"YDR327W_mRNA",0.127325451264952,4.88635027662344,0.207006619745902,0.6491237702175,0.741708980568998
"YIR017W-A_mRNA",0.47112686616234,2.02732331956697,0.206590582661445,0.649452896549111,0.741888314775726
"YFL041W_mRNA",0.107384914144257,5.53521544657676,0.206351032610003,0.649642585686164,0.741888314775726
"YDL009C_mRNA",-0.155087765701906,5.32155848724848,0.206321414106778,0.649666048499934,0.741888314775726
"YGR075C_mRNA",0.12063038536478,3.78833695609586,0.205139192799049,0.650604229132374,0.742812814285154
"YEL064C_mRNA",-0.143692004997763,4.38797917425106,0.203067152877471,0.652256436194164,0.744071391205287
"YDR063W_mRNA",0.117371114166438,4.63102915131852,0.203011001816265,0.65230135092945,0.744071391205287
"YOR108W_mRNA",0.124605461923708,3.85892509848702,0.202939285700745,0.652358726881454,0.744071391205287
"YGL233W_mRNA",-0.0773586211617373,5.22867558605839,0.202557073899187,0.652664718495216,0.744071391205287
"YDR026C_mRNA",0.149081146423055,5.46628234078125,0.202549879809427,0.652670481276516,0.744071391205287
"YHR098C_mRNA",-0.0934402033730561,5.42241847950404,0.202538518601573,0.652679582352754,0.744071391205287
"YER045C_mRNA",0.0886312509615783,6.69762490433426,0.202451576034643,0.652749239243232,0.744071391205287
"YKL124W_mRNA",-0.0785797750147224,5.50080485235519,0.202420084139369,0.652774474445573,0.744071391205287
"YJR099W_mRNA",-0.128714766454141,3.0059595934522,0.202305935251809,0.652865964443974,0.744071391205287
"YKR082W_mRNA",-0.108802442100396,5.14089080997223,0.200288252425729,0.65448827751447,0.745773188187725
"YOR192C_mRNA",0.126806598741519,2.97652861685809,0.197856164496526,0.65645688150613,0.747868825952546
"YIL149C_mRNA",0.230045656269698,6.89864998743119,0.196624658115294,0.657459231003656,0.74886304836859
"YGR086C_mRNA",0.0765490363146524,8.01058580229837,0.195746106966113,0.658176600640419,0.74953234331606
"YCL027W_mRNA",-0.184150088848338,2.42424666587949,0.19529286147792,0.658547445361108,0.749806829175194
"YPL195W_mRNA",0.0878167184212486,6.09184000187081,0.194352186625376,0.659318748688564,0.75053706985123
"YGL201C_mRNA",-0.0791591750513512,4.85692134119945,0.193819651967424,0.659756387493597,0.750795332390924
